id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
3762,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3768,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3769,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3789,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
379,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3792,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3812,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3817,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3818,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3826,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
