id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
16008,closed,leroix,volunter,leroix,volunter,0,0,null,null,null,NA,NA,NA,NA
16016,closed,Ingramz,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
16022,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
16026,closed,Rohith-hacker,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
16027,closed,Rohith-hacker,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
16041,closed,bs34,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
16058,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
16067,closed,royGil,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
16071,open,ungb,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
16074,closed,UziTech,volunter,maxbrunsfeld,employee,36,2,0,36,0,"(30,180]",NA,"(30,180]",NA
