id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
5893,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5894,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5898,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5899,closed,also,volunter,null,volunter,0,0,null,null,null
590,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5901,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5903,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5904,closed,deepak1556,volunter,zcbenz,employee,2,5,1,0,0
5905,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5906,closed,ThaddeusJiang,volunter,zcbenz,employee,0,0,null,null,null
5907,closed,vreality64,volunter,zcbenz,employee,0,0,null,null,null
5910,closed,zcbenz,employee,zcbenz,employee,0,1,0,0,0
5911,closed,mafintosh,volunter,kevinsawicki,employee,1,2,0,0,0
5913,closed,kevinsawicki,employee,zcbenz,employee,1,4,0,0,0
5915,closed,kevinsawicki,employee,zcbenz,employee,0,1,0,0,0
5921,closed,kevinsawicki,employee,kevinsawicki,employee,0,5,0,0,0
5922,closed,manosim,volunter,zcbenz,employee,0,0,null,null,null
5923,closed,kevinsawicki,employee,zcbenz,employee,0,1,0,0,0
5924,closed,kevinsawicki,employee,kevinsawicki,employee,1,4,0,0,1
5926,closed,atdrago,volunter,null,volunter,0,0,null,null,null
5928,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5929,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5932,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
594,closed,PeterDaveHello,volunter,zcbenz,employee,0,0,null,null,null
5942,closed,enlight,volunter,kevinsawicki,employee,0,0,null,null,null
5943,closed,bbondy,volunter,zcbenz,employee,0,0,null,null,null
5944,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5945,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
595,closed,soh1988,volunter,null,volunter,0,0,null,null,null
5950,closed,vreality64,volunter,zcbenz,employee,0,0,null,null,null
5952,closed,enlight,volunter,zcbenz,employee,0,0,null,null,null
5954,closed,countrywind,volunter,zcbenz,employee,0,0,null,null,null
5955,closed,enlight,volunter,zcbenz,employee,0,0,null,null,null
5956,closed,WuglyakBolgoink,volunter,zcbenz,employee,0,0,null,null,null
5957,closed,WuglyakBolgoink,volunter,zcbenz,employee,0,0,null,null,null
5958,closed,WuglyakBolgoink,volunter,zcbenz,employee,0,0,null,null,null
5959,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
596,closed,soh1988,volunter,null,volunter,1,2,0,0,1
5963,closed,countrywind,volunter,kevinsawicki,employee,0,0,null,null,null
5964,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5965,closed,kevinsawicki,employee,zcbenz,employee,3,0,null,null,null
5966,closed,felixrieseberg,volunter,kevinsawicki,employee,0,2,0,0,0
5967,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5970,closed,bj7,volunter,null,volunter,0,0,null,null,null
5972,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5974,closed,jlord,volunter,jlord,volunter,0,1,0,0,0
5975,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5977,closed,WuglyakBolgoink,volunter,zcbenz,employee,0,0,null,null,null
5978,closed,WuglyakBolgoink,volunter,zcbenz,employee,0,0,null,null,null
5979,closed,WuglyakBolgoink,volunter,zcbenz,employee,0,0,null,null,null
5980,closed,netham91,volunter,null,volunter,0,0,null,null,null
5986,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5988,closed,wa4557,volunter,null,volunter,9,0,null,null,null
5989,closed,danhp,volunter,kevinsawicki,employee,0,0,null,null,null
599,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5999,closed,greggman,volunter,zcbenz,employee,1,0,null,null,null
6008,closed,develar,volunter,zcbenz,employee,0,0,null,null,null
6010,closed,miniak,volunter,null,volunter,0,0,null,null,null
6012,closed,miniak,volunter,zcbenz,employee,0,0,null,null,null
6013,closed,miniak,volunter,zcbenz,employee,0,0,null,null,null
6018,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6019,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
602,closed,soh1988,volunter,zcbenz,employee,0,0,null,null,null
6022,closed,losnake,volunter,zcbenz,employee,0,0,null,null,null
6023,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6026,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6027,closed,Kushagra8888,volunter,kevinsawicki,employee,0,0,null,null,null
6029,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
603,closed,soh1988,volunter,zcbenz,employee,0,0,null,null,null
6030,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
6034,closed,kevinsawicki,employee,null,volunter,0,0,null,null,null
6035,closed,kevinsawicki,employee,zcbenz,employee,1,4,0,0,0
6037,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6038,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6043,closed,JimiC,volunter,kevinsawicki,employee,0,0,null,null,null
6049,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
6052,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
6053,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
606,closed,hokein,volunter,zcbenz,employee,0,0,null,null,null
6061,closed,zephyrzoom,volunter,kevinsawicki,employee,0,0,null,null,null
6068,closed,kevinsawicki,employee,zcbenz,employee,3,6,1,0,1
6070,closed,banyudu,volunter,zcbenz,employee,0,0,null,null,null
6071,closed,banyudu,volunter,zcbenz,employee,0,0,null,null,null
6072,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6073,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6076,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6084,closed,wolfgang42,volunter,kevinsawicki,employee,0,0,null,null,null
6087,closed,mnquintana,volunter,zcbenz,employee,0,0,null,null,null
6089,closed,bridiver,volunter,zcbenz,employee,0,0,null,null,null
6090,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
6091,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
6092,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
6095,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
6097,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6099,closed,kyo4311,volunter,null,volunter,9,1,0,0,8
610,closed,zcbenz,employee,zcbenz,employee,2,0,null,null,null
6105,closed,zephyrzoom,volunter,zcbenz,employee,1,0,null,null,null
6106,closed,mjudd,volunter,kevinsawicki,employee,0,0,null,null,null
6110,closed,danhp,volunter,kevinsawicki,employee,0,1,0,0,0
6111,closed,zeke,employee,zcbenz,employee,6,8,5,0,0
6112,closed,zeke,employee,null,volunter,1,0,null,null,null
6114,closed,CharlieHess,volunter,null,volunter,2,1,0,1,1
6115,closed,kevinsawicki,employee,zcbenz,employee,1,0,null,null,null
6116,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
612,closed,nuivall,volunter,zcbenz,employee,9,0,null,null,null
6125,closed,leo,volunter,zcbenz,employee,0,0,null,null,null
6128,closed,gerhardberger,volunter,zcbenz,employee,1,0,null,null,null
6130,closed,rahatarmanahmed,volunter,zcbenz,employee,0,0,null,null,null
6134,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
6135,closed,blainesch,volunter,zcbenz,employee,0,0,null,null,null
6136,closed,MarshallOfSound,volunter,mnquintana,volunter,0,0,null,null,null
6137,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
614,closed,paulcbetts,volunter,zcbenz,employee,0,0,null,null,null
6140,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
