user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
bradgearon,false,0.0,0.0,1.0,0.0,0.0
Glavin001,false,0.0,0.0,1.0,0.0,0.0
lierdakil,false,0.0,0.0,0.5,0.5,0.0
nullstyle,false,0.0,1.0,0.0,0.0,0.0
Abdillah,false,1.0,0.0,0.0,0.0,0.0
nounoursheureux,false,0.0,0.0,0.5,0.5,0.0
isghe,false,0.0,0.0,0.625,0.0,0.375
SHADOWELITE7,false,1.0,0.0,0.0,0.0,0.0
efatsi,false,0.0,0.0,0.0,1.0,0.0
daviwil,false,0.1461794019933555,0.0033222591362126247,0.25802879291251385,0.17275747508305647,0.41971207087486156
dmnd,false,0.16666666666666666,0.31666666666666665,0.375,0.09166666666666666,0.05
batjko,false,0.25,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.17857142857142858
KINFOO,false,0.0,0.0,0.0,1.0,0.0
ehuss,false,0.0,1.0,0.0,0.0,0.0
frantic1048,false,0.0,1.0,0.0,0.0,0.0
Evpok,false,1.0,0.0,0.0,0.0,0.0
jeremyramin,false,0.0,0.6666666666666666,0.2,0.0,0.13333333333333333
schacon,false,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
brixen,false,0.0,0.0,1.0,0.0,0.0
bolinfest,false,0.11665141811527904,0.16331198536139066,0.3037511436413541,0.09240622140896615,0.32387923147301007
AngelEzquerra,false,1.0,0.0,0.0,0.0,0.0
GilTeixeira,false,0.0,0.0,1.0,0.0,0.0
viatsko,false,0.0,0.0,0.0,0.0,1.0
iolsen,false,0.08828828828828829,0.016576576576576577,0.07099099099099099,0.4136936936936937,0.4104504504504505
laurmurclar,false,0.0,0.0,0.0,0.0,1.0
BinaryMuse,false,0.11309332608534506,0.0774381656000593,0.07486842430382248,0.5344073534135554,0.20019273059721776
themaninthesuitcase,false,0.0,0.0,1.0,0.0,0.0
cobyism,false,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
mostafaeweda,false,0.1111111111111111,0.0935672514619883,0.28654970760233917,0.3684210526315789,0.14035087719298245
mehcode,false,0.0,0.0,0.0,1.0,0.0
hellendag,false,0.0,0.0,1.0,0.0,0.0
jabr,false,1.0,0.0,0.0,0.0,0.0
skardach,false,0.0,1.0,0.0,0.0,0.0
fruchtose,false,0.0,0.0,0.0,1.0,0.0
Fank,false,0.0,0.0,0.0,1.0,0.0
samhunta,false,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0
brettle,false,0.0,1.0,0.0,0.0,0.0
marceloatie,false,0.0,0.0,1.0,0.0,0.0
